Page Name,Amount Spent (EUR),len_amt,state
Oogvereniging,100,3,Noord Holland 
Gemeente Texel,100,3,Noord Holland 
European Youth Event,100,3,Noord Holland 
Kaapvaarders Verbond,100,3,Noord Holland 
VPRO Gids,100,3,Noord Holland 
24Bottles,100,3,Noord Holland 
Trans United Europe/Trans BPOC European network,100,3,Noord Holland 
Voor altijd slank en fit,100,3,Noord Holland 
Christelijk Informatie Platform,100,3,Noord Holland 
Leon de Lange,100,3,Noord Holland 
Haerlems Bodem,100,3,Noord Holland 
Partij voor de Dieren Flevoland,100,3,Noord Holland 
D.Franklin,100,3,Noord Holland 
Minister voor Wonen,100,3,Noord Holland 
SodaStream Nederland,100,3,Noord Holland 
rPlanet Earth,100,3,Noord Holland 
WemakethecityKraaiennest,100,3,Noord Holland 
Burger Opinie,100,3,Noord Holland 
GroenLinks Amsterdam,100,3,Noord Holland 
Top PB Poland,100,3,Noord Holland 
"Angstcoachpraktijk ""De Bevrijding""",100,3,Noord Holland 
juliet.broersen,100,3,Noord Holland 
Daliel.nl,100,3,Noord Holland 
Caravannen,100,3,Noord Holland 
Barberstation,100,3,Noord Holland 
Wheat Straws,100,3,Noord Holland 
Peter van Dalen,100,3,Noord Holland 
Do More,100,3,Noord Holland 
Greenn mondo,100,3,Noord Holland 
Politiek van Morgen,100,3,Noord Holland 
Watdoetdathier,100,3,Noord Holland 
Atlantic Forum,100,3,Noord Holland 
Jesse Klaver,100,3,Noord Holland 
Sports Leadership Institute,100,3,Noord Holland 
Mohammed Chahim,100,3,Noord Holland 
Edgard & Cooper,100,3,Noord Holland 
BEO bottle,100,3,Noord Holland 
Ware Islam,100,3,Noord Holland 
Best Design Crowdfunding Projects,100,3,Noord Holland 
European Debate Initiative,100,3,Noord Holland 
Daan de Kort,100,3,Noord Holland 
MiJu,100,3,Noord Holland 
Oneworld.nl,100,3,Noord Holland 
Tubantia,100,3,Noord Holland 
PvdA Medemblik,100,3,Noord Holland 
politieknederland,100,3,Noord Holland 
Gemeenteraad Utrecht,100,3,Noord Holland 
Nicolette Kluijver,100,3,Noord Holland 
Brave New Films,100,3,Noord Holland 
Rainbow Academy,100,3,Noord Holland 
OMR,100,3,Noord Holland 
Jason Hyde World,100,3,Noord Holland 
Björn Borg,100,3,Noord Holland 
Fonds Slachtofferhulp,100,3,Noord Holland 
Horecazorg,100,3,Noord Holland 
TU Eindhoven,100,3,Noord Holland 
Reusable Product,100,3,Noord Holland 
Leger des Heils,100,3,Noord Holland 
"PerspectieF, ChristenUnie-jongeren",100,3,Noord Holland 
ChristenUnie Zwolle,100,3,Noord Holland 
Stoppen met vlees,100,3,Noord Holland 
Ftrprf,100,3,Noord Holland 
Wethouder Johannes Goossen,100,3,Noord Holland 
Tappytoon,100,3,Noord Holland 
Instagram User 9357121926,100,3,Noord Holland 
Jong Ondernemen,100,3,Noord Holland 
Students for Climate NL,100,3,Noord Holland 
COC Nederland,100,3,Noord Holland 
Mercy Ships Holland,100,3,Noord Holland 
Rico Briedjal,100,3,Noord Holland 
Backme.org,100,3,Noord Holland 
Groot Vastgoed Adviseurs De,100,3,Noord Holland 
"Huismus Bescherming Nederland, Stichting Witte Mus",100,3,Noord Holland 
Eline Vedder,100,3,Noord Holland 
CGTNEurope,100,3,Noord Holland 
RelyOn Nutec the Netherlands,100,3,Noord Holland 
Jelnl,100,3,Noord Holland 
Raymond Mens,100,3,Noord Holland 
WB GroenLinks,100,3,Noord Holland 
VEnschede,100,3,Noord Holland 
Gemeente Den Helder,100,3,Noord Holland 
LastSwab,100,3,Noord Holland 
UvA Faculteit der Rechtsgeleerdheid,100,3,Noord Holland 
JaapJonkers,100,3,Noord Holland 
VPRO Zomergasten,100,3,Noord Holland 
"Atria, voor gendergelijkheid en vrouwengeschiedenis",100,3,Noord Holland 
ChristenUnie Zwolle,100,3,Noord Holland 
Ouders & Onderwijs,100,3,Noord Holland 
Devrijesint,100,3,Noord Holland 
Lijst30,100,3,Noord Holland 
king_kody024,100,3,Noord Holland 
Wassila Hachchi,100,3,Noord Holland 
Port of Antwerp,100,3,Noord Holland 
VVD Waterland,100,3,Noord Holland 
Hart voor Medemblik - HvM,100,3,Noord Holland 
Facebook for Business,100,3,Noord Holland 
Zo kan het ook,100,3,Noord Holland 
Rubbermagazijn,100,3,Noord Holland 
PvdA Almere,100,3,Noord Holland 
NPO 1,100,3,Noord Holland 
Mazzystore,100,3,Noord Holland 
Toneelgroep Jan Vos,100,3,Noord Holland 
Zwarte Piet onder Vuur,100,3,Noord Holland 
Ingrid van Wifferen,100,3,Noord Holland 
Hart voor Zaankanters Kwis,100,3,Noord Holland 
Gemeente Ouder-Amstel,100,3,Noord Holland 
PvdA Goeree-Overflakkee,100,3,Noord Holland 
Van Dal mannenmode,100,3,Noord Holland 
Argan,100,3,Noord Holland 
Saywhat Bottles,100,3,Noord Holland 
Braindom,100,3,Noord Holland 
Instituto Europeo de Psicología Positiva - IEPP,100,3,Noord Holland 
sheabutterbaby.nl,100,3,Noord Holland 
GetGadgets.nl,100,3,Noord Holland 
CDA Haarlem,100,3,Noord Holland 
Algemene Waterschapspartij Nederland,100,3,Noord Holland 
Shell and Turtle,100,3,Noord Holland 
Garbrand,100,3,Noord Holland 
Garden space,100,3,Noord Holland 
D66 Almere,100,3,Noord Holland 
Uniek Sporten,100,3,Noord Holland 
D66Velsen,100,3,Noord Holland 
Crypterium,100,3,Noord Holland 
FlyGRN,100,3,Noord Holland 
Meldpunt Verpakkingen,100,3,Noord Holland 
Stichting Kinderkoningsdag,100,3,Noord Holland 
Like in a movie,100,3,Noord Holland 
Malaysian Investment Development Authority - MIDA - Frankfurt Office,100,3,Noord Holland 
Wheat Straws,100,3,Noord Holland 
Ons Almere,100,3,Noord Holland 
Christian Refugee Relief,100,3,Noord Holland 
Open Art,100,3,Noord Holland 
De Wereldwijven,100,3,Noord Holland 
TOMS,100,3,Noord Holland 
Jonge Democraten Amsterdam,100,3,Noord Holland 
GBMedemblik,100,3,Noord Holland 
Studentenpartij Uvasociaal,100,3,Noord Holland 
Cliëntenbelang Amsterdam,100,3,Noord Holland 
Rosa_Molenaar,100,3,Noord Holland 
Rosa_Molenaar,100,3,Noord Holland 
KRO-NCRV,100,3,Noord Holland 
Gemeente Nieuwkoop,100,3,Noord Holland 
Studentenfractie AKKUraatd,100,3,Noord Holland 
The Explorer: Greentech from Norway,100,3,Noord Holland 
Nuffic,100,3,Noord Holland 
Cmtc-Ovm patiëntenorganisatie Nederland,100,3,Noord Holland 
Esterelle van Zanten Leefstijl & Herstel Coaching,100,3,Noord Holland 
UQQO,100,3,Noord Holland 
VVD Haarlem,100,3,Noord Holland 
Saen Garantiemakelaars,100,3,Noord Holland 
New Bulgarian University,100,3,Noord Holland 
Hugo van Leeuwen,100,3,Noord Holland 
BBI Travel,100,3,Noord Holland 
Tiny Little Cactus,100,3,Noord Holland 
Mr. Stephen Ridley,100,3,Noord Holland 
NGIZ Nederlands Genootschap voor Internationale Zaken,100,3,Noord Holland 
CDA Amstelveen,100,3,Noord Holland 
Vanja,100,3,Noord Holland 
Boek&Meester,100,3,Noord Holland 
Atelier Jungles,100,3,Noord Holland 
Bureau Clara Wichmann,100,3,Noord Holland 
ยันต์รุ่งเรือง,100,3,Noord Holland 
Mindvalley на русском,100,3,Noord Holland 
Onthullend Nieuws,100,3,Noord Holland 
European Movement,100,3,Noord Holland 
StrawZ,100,3,Noord Holland 
Wie heeft gelijk,100,3,Noord Holland 
fepshop.com,100,3,Noord Holland 
Nieuw Wij,100,3,Noord Holland 
Tankpas.nl,100,3,Noord Holland 
D66 Soest-Soesterberg,100,3,Noord Holland 
WECF Nederland - Women Engage for a Common Future,100,3,Noord Holland 
De Haagse VVD,100,3,Noord Holland 
Bits & Pretzels,100,3,Noord Holland 
АТОН,100,3,Noord Holland 
dennieboxem.nl,100,3,Noord Holland 
Voordekunst,100,3,Noord Holland 
EXPOSED,100,3,Noord Holland 
Quintessentially Queer,100,3,Noord Holland 
NUT (Nieuw Utrechts Toneel),100,3,Noord Holland 
Partij Zonder Naam,100,3,Noord Holland 
Queeny Rajkowski,100,3,Noord Holland 
Third Space / Building Conversation,100,3,Noord Holland 
LastObject,100,3,Noord Holland 
Tufina Watches,100,3,Noord Holland 
KCR - Rotterdam,100,3,Noord Holland 
Fleekday,100,3,Noord Holland 
MaterialTrader.com,100,3,Noord Holland 
Room for Discussion,100,3,Noord Holland 
Hillegom Online,100,3,Noord Holland 
ALDE Party – Liberals and Democrats for Europe,100,3,Noord Holland 
Nederlands Dagblad,100,3,Noord Holland 
Klopan,100,3,Noord Holland 
EU Civil Protection & Humanitarian Aid - ECHO,100,3,Noord Holland 
Info West Papua,100,3,Noord Holland 
Mohammed Akkari,100,3,Noord Holland 
Brooklyn Institute for Social Research,100,3,Noord Holland 
Doris Kearns Goodwin,100,3,Noord Holland 
Timing,100,3,Noord Holland 
Palais de l'eau,100,3,Noord Holland 
CDA Kop van Noord Holland,100,3,Noord Holland 
Reporter,100,3,Noord Holland 
Barney Media,100,3,Noord Holland 
D66 Diemen,100,3,Noord Holland 
GreenSwapp,100,3,Noord Holland 
Polymaat,100,3,Noord Holland 
Vers Beton,100,3,Noord Holland 
NTR,100,3,Noord Holland 
Moderny,100,3,Noord Holland 
Op Weg Met Waterstof,100,3,Noord Holland 
Global Human Rights Defence,100,3,Noord Holland 
ACT-Solar,100,3,Noord Holland 
REVOLVER PARTY,100,3,Noord Holland 
Veenfabriek,100,3,Noord Holland 
Khalid Latif,100,3,Noord Holland 
HetkanWel,100,3,Noord Holland 
Binary Credit,100,3,Noord Holland 
MKB-Nederland,100,3,Noord Holland 
Iwannabeamodel.nl,100,3,Noord Holland 
Ruben van der Meer,100,3,Noord Holland 
D&D Beyond,100,3,Noord Holland 
The Food Department,100,3,Noord Holland 
CDA Haarlem,100,3,Noord Holland 
"CDJA, CDA-jongeren",100,3,Noord Holland 
Partij van de Ouderen,100,3,Noord Holland 
Fractie Front,100,3,Noord Holland 
ProRail,100,3,Noord Holland 
Gemeente Waddinxveen,100,3,Noord Holland 
Business 3.0,100,3,Noord Holland 
Bas de Wit,100,3,Noord Holland 
Leaves,100,3,Noord Holland 
Bedrijfstechnologie,100,3,Noord Holland 
Tolhuistuin,100,3,Noord Holland 
Badland Brawl,100,3,Noord Holland 
Alptekin Akdogan,100,3,Noord Holland 
Militarylawoffice,100,3,Noord Holland 
VVD - Edith van den Ham,100,3,Noord Holland 
Ari Herstand,100,3,Noord Holland 
Forza! Haarlemmermeer,100,3,Noord Holland 
Red een Kind,100,3,Noord Holland 
Humanistisch Vredesberaad  HVB,100,3,Noord Holland 
één land één samenleving,100,3,Noord Holland 
"Facebook for Government, Politics & Advocacy in EMEA",100,3,Noord Holland 
Kinderhuis Nepal,100,3,Noord Holland 
"Marcel, en wat ik er van vind.",100,3,Noord Holland 
La Passione - Cycling Couture,100,3,Noord Holland 
Bakkie Trots,100,3,Noord Holland 
Stem Roy Europa in,100,3,Noord Holland 
Iamcool.ninja,100,3,Noord Holland 
𝒫𝓈𝓇 𝒸𝓇𝑒𝒶𝓉𝒾𝑜𝓃𝓈,100,3,Noord Holland 
Expatica,100,3,Noord Holland 
Red Pers,100,3,Noord Holland 
WalletHolder,100,3,Noord Holland 
I&O Research,100,3,Noord Holland 
Apeldoorn Congresstad,100,3,Noord Holland 
Wiardi Beckman Stichting,100,3,Noord Holland 
Jonge Democraten Wageningen,100,3,Noord Holland 
Aircall,100,3,Noord Holland 
Firemen Dakarteam,100,3,Noord Holland 
Konfor Home,100,3,Noord Holland 
HEAR-studie,100,3,Noord Holland 
Schoevers,100,3,Noord Holland 
Roche,100,3,Noord Holland 
High Performance Academy,100,3,Noord Holland 
Ik ben Trots op Nederland,100,3,Noord Holland 
CDJA Limburg,100,3,Noord Holland 
Student Research Conference 2019,100,3,Noord Holland 
Energiecoöperatie Wijdemeren,100,3,Noord Holland 
Koop je droom,100,3,Noord Holland 
"Carline van Breugel, #32",100,3,Noord Holland 
"Frank Buijs, CDA",100,3,Noord Holland 
CheckYourSafety,100,3,Noord Holland 
Instagram User 3122239259,100,3,Noord Holland 
Clare Evans,100,3,Noord Holland 
Dorcas,100,3,Noord Holland 
De 4 Linden Makelaardij,100,3,Noord Holland 
JOVD Utrecht e.o.,100,3,Noord Holland 
Vooruitgangspartij,100,3,Noord Holland 
Coverplan,100,3,Noord Holland 
Bleekjetanden.nl,100,3,Noord Holland 
Mijn Democratie,100,3,Noord Holland 
Sweet and small,100,3,Noord Holland 
Finaste,100,3,Noord Holland 
Nederland KansRijk,100,3,Noord Holland 
VVD Noord-Holland,100,3,Noord Holland 
Pvda Amsterdam Oost,100,3,Noord Holland 
Progressief Rechten,100,3,Noord Holland 
Singapore Global Network,100,3,Noord Holland 
Danique Henzen,100,3,Noord Holland 
The connecting Planet,100,3,Noord Holland 
Bricks Ball Crusher,100,3,Noord Holland 
Piratenpartij [NL],100,3,Noord Holland 
Big News Buzz,100,3,Noord Holland 
Kardeş Eli İnsani Yardım Derneği,100,3,Noord Holland 
Aedes vereniging van woningcorporaties,100,3,Noord Holland 
Erlebnis Strandausritte an der Nordsee in Holland,100,3,Noord Holland 
Mercedes-Benz Vans NL,100,3,Noord Holland 
FDBCK Media,100,3,Noord Holland 
DMTbeauty,100,3,Noord Holland 
Wij zijn NL,100,3,Noord Holland 
Handicap NL,100,3,Noord Holland 
Moneytronic Nederland,100,3,Noord Holland 
WECF Nederland - Women Engage for a Common Future,100,3,Noord Holland 
ContainmentNu,100,3,Noord Holland 
17 doelen die je deelt,100,3,Noord Holland 
ProCellx Hair Laboratories,100,3,Noord Holland 
Mafia City H5,100,3,Noord Holland 
Appèltje Eitje,100,3,Noord Holland 
SIB-Leiden,100,3,Noord Holland 
Conflict Of Nations : World War 3,100,3,Noord Holland 
JW PEI,100,3,Noord Holland 
CDA Pride,100,3,Noord Holland 
Sportcentrum De Trits,100,3,Noord Holland 
UNHCR Nederland,100,3,Noord Holland 
Stichting Amazone Kinderen,100,3,Noord Holland 
DRONGO talenfestival,100,3,Noord Holland 
Anita Pannebakker D66,100,3,Noord Holland 
Bo ter Braak,100,3,Noord Holland 
Chivas Regal,100,3,Noord Holland 
Internationale Socialisten Utrecht,100,3,Noord Holland 
Urban-Innovators,100,3,Noord Holland 
GREENTRIPPER,100,3,Noord Holland 
StemPunt,100,3,Noord Holland 
Pfizer Nederland,100,3,Noord Holland 
Bert-Jan Ruissen,100,3,Noord Holland 
Sophia-Vereeniging,100,3,Noord Holland 
Busker Makelaardij,100,3,Noord Holland 
Project Makeover,100,3,Noord Holland 
VoteWatch Europe,100,3,Noord Holland 
Winq.nl,100,3,Noord Holland 
Stoov,100,3,Noord Holland 
Wij blijven kritisch,100,3,Noord Holland 
Traveleers,100,3,Noord Holland 
Artikel 48 - Europa Hervormen Nu,100,3,Noord Holland 
De Vrije Student - Rijksuniversiteit Groningen,100,3,Noord Holland 
Kaufe deinen Traum,100,3,Noord Holland 
Symphony of love,100,3,Noord Holland 
GroenLinks Utrecht,100,3,Noord Holland 
LanguageCert,100,3,Noord Holland 
Frederiquestijl,100,3,Noord Holland 
TOGETHERBAND,100,3,Noord Holland 
Mouvement Panafricain,100,3,Noord Holland 
SIB-Utrecht,100,3,Noord Holland 
Mission Possible Nederland,100,3,Noord Holland 
CJB (Communistische Jongerenbeweging Nederland),100,3,Noord Holland 
Transport & Environment,100,3,Noord Holland 
Ridder,100,3,Noord Holland 
U.S. Mission to NATO,100,3,Noord Holland 
Be Hague,100,3,Noord Holland 
Change the World Model United Nations,100,3,Noord Holland 
PvdA-Harderwijk,100,3,Noord Holland 
JFV Ouranos,100,3,Noord Holland 
IOM - UN Migration,100,3,Noord Holland 
Dopper,100,3,Noord Holland 
McKinsey on Government,100,3,Noord Holland 
PvdA Den Haag,100,3,Noord Holland 
BN DeStem,100,3,Noord Holland 
Omaze,100,3,Noord Holland 
Charlie Feist,100,3,Noord Holland 
The Sanitation and Hygiene Fund,100,3,Noord Holland 
Music Declares Emergency,100,3,Noord Holland 
Thales Cloud Security,100,3,Noord Holland 
FNV Vakbond,100,3,Noord Holland 
Neurodiversiteit - Neurodiversity Foundation,100,3,Noord Holland 
FNV Overheid,100,3,Noord Holland 
Eklips advies,100,3,Noord Holland 
Meldpunt Verpakkingen,100,3,Noord Holland 
Joey Leeuwinga,100,3,Noord Holland 
IHH Nederland,100,3,Noord Holland 
TK Maxx,100,3,Noord Holland 
Kooksucces.nl,100,3,Noord Holland 
PvdA Haarlemmermeer,100,3,Noord Holland 
Bureau YAN,100,3,Noord Holland 
Roelof Bisschop,100,3,Noord Holland 
Staffbase,100,3,Noord Holland 
UAEM-Amsterdam,100,3,Noord Holland 
중앙선거관리위원회,100,3,Noord Holland 
Rosalie van Rijn- wethouder,100,3,Noord Holland 
Museon,100,3,Noord Holland 
Robert Veldhuis BBB,100,3,Noord Holland 
Omar El Boussaidi,100,3,Noord Holland 
Stt Ngắn - Tâm Sự Cuộc Sống,100,3,Noord Holland 
Vooruitgangspartij,100,3,Noord Holland 
Willem Wever,100,3,Noord Holland 
Spirit of Nature,100,3,Noord Holland 
Want Properties,100,3,Noord Holland 
GroenLinks Den Haag,100,3,Noord Holland 
Vrijopnaam,100,3,Noord Holland 
FLOOR,100,3,Noord Holland 
Gemeente Belangen Stedebroec - GBS,100,3,Noord Holland 
Eppo Bruins,100,3,Noord Holland 
Hard//Hoofd,100,3,Noord Holland 
Wijkraad Binnenstad Haarlem,100,3,Noord Holland 
GroenLinks Bloemendaal,100,3,Noord Holland 
Global Pride 2020,100,3,Noord Holland 
King Of Clothes,100,3,Noord Holland 
BBI Travel,100,3,Noord Holland 
Werken voor Nederland,100,3,Noord Holland 
Erasmus University Council member Philip van Moll,100,3,Noord Holland 
Almeerse VVD,100,3,Noord Holland 
Hazazah,100,3,Noord Holland 
SeaconLogistics,100,3,Noord Holland 
Vera Tax,100,3,Noord Holland 
LEDlightened B.V,100,3,Noord Holland 
Brut UK,100,3,Noord Holland 
Algemene Waterschapspartij Nederland,100,3,Noord Holland 
De Zaansche Molen,100,3,Noord Holland 
Proefdiervrij,100,3,Noord Holland 
Strong Babies,100,3,Noord Holland 
Stennis met Frank en Dennis,100,3,Noord Holland 
Exclusive Swiss Cars,100,3,Noord Holland 
Edukans,100,3,Noord Holland 
Jonge Atlantici/YATA Netherlands,100,3,Noord Holland 
Leo Moctezuma Music,100,3,Noord Holland 
D66 Groningen,100,3,Noord Holland 
Soroptimist International Nederland,100,3,Noord Holland 
SlimmemeterPortal.nl,100,3,Noord Holland 
CDA Barneveld,100,3,Noord Holland 
Partij voor Ouderen en Veiligheid,100,3,Noord Holland 
Our Footsteps - A Theatre Performance on Migrants' Narratives,100,3,Noord Holland 
Roadnow,100,3,Noord Holland 
Cinéart Nederland,100,3,Noord Holland 
Alvexo,100,3,Noord Holland 
Zero Waste Produce Bags,100,3,Noord Holland 
Council of the European Union,100,3,Noord Holland 
De Westerscheldetunnel tolvrij,100,3,Noord Holland 
Una Collective,100,3,Noord Holland 
ALOHA FROM DEER,100,3,Noord Holland 
Samsam Magazine,100,3,Noord Holland 
Sabine Koebrugge,100,3,Noord Holland 
Business ideas,100,3,Noord Holland 
"Breeze: mood journal, diary",100,3,Noord Holland 
Spaarneduin makelaars,100,3,Noord Holland 
ONE FOR ISRAEL Ministry,100,3,Noord Holland 
Goodr,100,3,Noord Holland 
Uit in Amsterdam,100,3,Noord Holland 
PvdA Rotterdam,100,3,Noord Holland 
Raoul Boucke,100,3,Noord Holland 
Toyota Nederland,100,3,Noord Holland 
THE ZEROist,100,3,Noord Holland 
Bibliotheek Utrecht,100,3,Noord Holland 
Tropenmuseum,100,3,Noord Holland 
Woonwagen belangen Nederland,100,3,Noord Holland 
Hart voor Bloemendaal,100,3,Noord Holland 
Thought For Food,100,3,Noord Holland 
主燈塔事工,100,3,Noord Holland 
Objectivo,100,3,Noord Holland 
Magazine Beacon,100,3,Noord Holland 
Kristen Bell,100,3,Noord Holland 
Marxistische Studenten Utrecht,100,3,Noord Holland 
PawFles,100,3,Noord Holland 
Stichting Stem voor Dieren,100,3,Noord Holland 
Bijles & Huiswerkbegeleiding in Almere,100,3,Noord Holland 
Misha's,100,3,Noord Holland 
Echte Investition,100,3,Noord Holland 
SP Noord-Holland,100,3,Noord Holland 
Buro Ruis,100,3,Noord Holland 
Climate Designers,100,3,Noord Holland 
Soul Water,100,3,Noord Holland 
Porminho,100,3,Noord Holland 
Opzij,100,3,Noord Holland 
Instagram User 3146894791,100,3,Noord Holland 
War and Magic,100,3,Noord Holland 
Volt Zeeland,100,3,Noord Holland 
VVD Haarlem,100,3,Noord Holland 
Madevy,100,3,Noord Holland 
NEC Corporation,100,3,Noord Holland 
Visit Malta,100,3,Noord Holland 
Dopper,100,3,Noord Holland 
Icelandair,100,3,Noord Holland 
XR Alkmaar,100,3,Noord Holland 
De Amsterdamse VVD,100,3,Noord Holland 
Kavish Partiman,100,3,Noord Holland 
New Women Connectors,100,3,Noord Holland 
EIT Food West,100,3,Noord Holland 
Stichting Stem voor Dieren,100,3,Noord Holland 
Dier&Recht,100,3,Noord Holland 
VoorBaarn,100,3,Noord Holland 
Gospel Of Dance,100,3,Noord Holland 
CDA Leiden,100,3,Noord Holland 
Uitgeverij Aspekt,100,3,Noord Holland 
The British Journal of Photography,100,3,Noord Holland 
Knauf Insulation Benelux,100,3,Noord Holland 
Zootje Geregeld,100,3,Noord Holland 
Spiergewrichtologie,100,3,Noord Holland 
Newstyle Healthcenters,100,3,Noord Holland 
a n n a + n i n a,100,3,Noord Holland 
PrawoKarne.nl - Pomoc prawna w Holandii,100,3,Noord Holland 
Vans,100,3,Noord Holland 
Sekretaria Online Akademie,100,3,Noord Holland 
Cuffer,100,3,Noord Holland 
Harmoninie A,100,3,Noord Holland 
This Cuteness,100,3,Noord Holland 
Kernionenergie,100,3,Noord Holland 
Pakhuis de Zwijger,100,3,Noord Holland 
Dubbii Oromoo,100,3,Noord Holland 
Jongerenbeweging Oppositie,100,3,Noord Holland 
Loopbaangarantie,100,3,Noord Holland 
Kwalitaria Zijdelwaard,100,3,Noord Holland 
NL.CostCutter.club,100,3,Noord Holland 
Freethinker,100,3,Noord Holland 
Minecraft,100,3,Noord Holland 
Melkweg Amsterdam,100,3,Noord Holland 
Evangelische Omroep (EO),100,3,Noord Holland 
Liesbeth Rooijmans - VVD,100,3,Noord Holland 
MarketsCube,100,3,Noord Holland 
Student & Starter,100,3,Noord Holland 
Decoshoppen.nl,100,3,Noord Holland 
Floris Eigenhuis,100,3,Noord Holland 
myHSteam,100,3,Noord Holland 
E BrandConnect,100,3,Noord Holland 
Mohamed Amessas,100,3,Noord Holland 
SchagenEet,100,3,Noord Holland 
"Algemene Waterschapspartij in het waterschap Amstel, Gooi en Vecht",100,3,Noord Holland 
Dachshund Facts,100,3,Noord Holland 
Stan Peters PvdA #31,100,3,Noord Holland 
Atelier Dadelier,100,3,Noord Holland 
Kendy Polestin,100,3,Noord Holland 
Shaw Academy,100,3,Noord Holland 
Authentieke Dag Vreeswijk,100,3,Noord Holland 
Volkspartij Nederland,100,3,Noord Holland 
Brachot,100,3,Noord Holland 
Ken Je Stem,100,3,Noord Holland 
"PvdA-GroenLinks Vught, Helvoirt & Cromvoirt",100,3,Noord Holland 
Wetenschappelijk Instituut ChristenUnie,100,3,Noord Holland 
VVD Leiden,100,3,Noord Holland 
NVTG,100,3,Noord Holland 
D66 Haarlemmermeer,100,3,Noord Holland 
Gadgets Go,100,3,Noord Holland 
Hofmeier,100,3,Noord Holland 
Zwart Manifest,100,3,Noord Holland 
Ecoforyou,100,3,Noord Holland 
Pensioenverlies,100,3,Noord Holland 
"ROOD, jong in de SP",100,3,Noord Holland 
gladts_for_glories,100,3,Noord Holland 
Free Russia NL,100,3,Noord Holland 
FG STYLES,100,3,Noord Holland 
ForumC,100,3,Noord Holland 
TechnoV,100,3,Noord Holland 
Marloes Daily,100,3,Noord Holland 
3 Mei: Nationale Dag van Empathie,100,3,Noord Holland 
Popcorn Stories,100,3,Noord Holland 
de Volkskrant,100,3,Noord Holland 
Switchpro's,100,3,Noord Holland 
Snack-crate,100,3,Noord Holland 
Lumen,100,3,Noord Holland 
Periscoop Film,100,3,Noord Holland 
Eindhovens Dagblad,100,3,Noord Holland 
FEBO,100,3,Noord Holland 
Happy Days Online,100,3,Noord Holland 
360,100,3,Noord Holland 
GroenLinks Zuid-Holland,100,3,Noord Holland 
Univé,100,3,Noord Holland 
DHL Parcel,100,3,Noord Holland 
Gazeta Wyborcza,100,3,Noord Holland 
Browsy,100,3,Noord Holland 
Uitgeverij Jan van Arkel,100,3,Noord Holland 
Dr. Ayça KAYA,100,3,Noord Holland 
Hawaiiyak,100,3,Noord Holland 
Miomojo,100,3,Noord Holland 
Universiteit Leiden / Leiden University,100,3,Noord Holland 
Bottles & Booze,100,3,Noord Holland 
Shop KHFA,100,3,Noord Holland 
The Circle of Beauty,100,3,Noord Holland 
Instagram User 5430641919,100,3,Noord Holland 
Hartstichting,100,3,Noord Holland 
World Bank,100,3,Noord Holland 
Greens/EFA in the European Parliament,100,3,Noord Holland 
Buitenhof,100,3,Noord Holland 
Writers Unlimited Winternachten Festival Den Haag,100,3,Noord Holland 
Darina_,100,3,Noord Holland 
De Rotterdamse VVD,100,3,Noord Holland 
triple A . plus,100,3,Noord Holland 
ChristenUnie Velsen,100,3,Noord Holland 
Doeffgewoon,100,3,Noord Holland 
Eurofound,100,3,Noord Holland 
The polygon seahorse,100,3,Noord Holland 
Goednieuws.nl,100,3,Noord Holland 
Belangenvereniging Julianadorp,100,3,Noord Holland 
IZZ,100,3,Noord Holland 
Algemene Onderwijsbond,100,3,Noord Holland 
Carla Dik-Faber,100,3,Noord Holland 
De Hypotheker,100,3,Noord Holland 
Deloitte,100,3,Noord Holland 
D66 Gennep,100,3,Noord Holland 
Lonaxi,100,3,Noord Holland 
Werken bij Action,100,3,Noord Holland 
Zwift Live,100,3,Noord Holland 
Attiya Gamri,100,3,Noord Holland 
Batavia Publishers,100,3,Noord Holland 
Euroscoop,100,3,Noord Holland 
Finnish Cultural Institute for the Benelux,100,3,Noord Holland 
Lara Wolters,100,3,Noord Holland 
NuNu Talk,100,3,Noord Holland 
Time For Action,100,3,Noord Holland 
European Commission,100,3,Noord Holland 
Multicultureel Jongeren Geluid,100,3,Noord Holland 
Emma Walker,100,3,Noord Holland 
NOHAU,100,3,Noord Holland 
Adobe,100,3,Noord Holland 
Aurum Brothers,100,3,Noord Holland 
Jan Snel,100,3,Noord Holland 
Deutsche Bank,100,3,Noord Holland 
Plesstics,100,3,Noord Holland 
Corekees,100,3,Noord Holland 
Ademir Cláudio,100,3,Noord Holland 
T M da Silva Marcos,100,3,Noord Holland 
Moto.pl,100,3,Noord Holland 
Pluimers Isolatie,100,3,Noord Holland 
de Bergse VVD,100,3,Noord Holland 
Niche Scraper,100,3,Noord Holland 
Live Wallpapers & Ringtones,100,3,Noord Holland 
myenergi,100,3,Noord Holland 
Yext,100,3,Noord Holland 
Pvda Waterland,100,3,Noord Holland 
Esra İnal,100,3,Noord Holland 
Stichting DOEN,100,3,Noord Holland 
Wieke Paulusma - kandidaat Tweede Kamerlid D66,100,3,Noord Holland 
Print Skyline,100,3,Noord Holland 
Zwaagstra Beton BV,100,3,Noord Holland 
Aimy,100,3,Noord Holland 
HFC - Halal Fried Chicken,100,3,Noord Holland 
Burger Partij Amersfoort (BPA),100,3,Noord Holland 
Minecraft,100,3,Noord Holland 
Pretty Simple,100,3,Noord Holland 
Opvoeding & Uitgaan,100,3,Noord Holland 
Your Concrete Design BV,100,3,Noord Holland 
