Page Name,Amount Spent (EUR),len_amt,state
Wereld Natuur Fonds - WWF,2084,4,Noord Holland 
Stichting leerKRACHT,2052,4,Noord Holland 
European Greens,1970,4,Noord Holland 
GO Realisme & Daadkracht,1968,4,Noord Holland 
AD.nl,1956,4,Noord Holland 
de Volkskrant,1904,4,Noord Holland 
Stichting Vluchteling,1897,4,Noord Holland 
VELUX,1841,4,Noord Holland 
Thierry Baudet,1834,4,Noord Holland 
"Ministerie van Volksgezondheid, Welzijn en Sport",1834,4,Noord Holland 
Belvilla,1797,4,Noord Holland 
Klaas Dijkhoff,1785,4,Noord Holland 
European Commission,1770,4,Noord Holland 
Cambridge Institute for Sustainability Leadership,1761,4,Noord Holland 
VIER VOETERS,1726,4,Noord Holland 
KNCV Tuberculosefonds,1720,4,Noord Holland 
World Food Programme,1698,4,Noord Holland 
Ons Diemen,1657,4,Noord Holland 
50PLUSpartij,1640,4,Noord Holland 
NIDA,1630,4,Noord Holland 
Skyworld in your hands,1612,4,Noord Holland 
Gemeente Medemblik,1610,4,Noord Holland 
NOW,1582,4,Noord Holland 
Argos,1574,4,Noord Holland 
Hivos,1572,4,Noord Holland 
Op reis naar 2050,1570,4,Noord Holland 
Eerlijke Geldwijzer,1570,4,Noord Holland 
ENGIE Energie Nederland,1554,4,Noord Holland 
Schoner Holland,1548,4,Noord Holland 
Ongehoord Nederland,1541,4,Noord Holland 
De Nederlandse Kluis,1540,4,Noord Holland 
EPP - European People's Party,1533,4,Noord Holland 
8 Billion Trees,1527,4,Noord Holland 
easyJet,1506,4,Noord Holland 
The Ocean Cleanup,1505,4,Noord Holland 
Kom over en help,1502,4,Noord Holland 
CASsummit2021,1499,4,Noord Holland 
Groasis,1489,4,Noord Holland 
Pointer (KRO-NCRV),1479,4,Noord Holland 
Save the Children Nederland,1468,4,Noord Holland 
Prove Them Wrong,1461,4,Noord Holland 
Longfonds,1436,4,Noord Holland 
Simavi,1407,4,Noord Holland 
Coöperatie Laatste Wil,1404,4,Noord Holland 
Workplace from Facebook,1403,4,Noord Holland 
Eveline Tijmstra,1393,4,Noord Holland 
NPO,1334,4,Noord Holland 
Stichting Bootvluchteling,1332,4,Noord Holland 
UNICEF Nederland,1329,4,Noord Holland 
D66 Haarlem,1323,4,Noord Holland 
Hier met je peuk,1290,4,Noord Holland 
Greenchoice,1287,4,Noord Holland 
"Ministerie van Onderwijs, Cultuur en Wetenschap",1268,4,Noord Holland 
Go. Green. Easy,1243,4,Noord Holland 
Ben & Jerry's,1236,4,Noord Holland 
Blendle,1220,4,Noord Holland 
ACN - Kerk in Nood,1216,4,Noord Holland 
GSA Netwerk,1206,4,Noord Holland 
NTR,1205,4,Noord Holland 
Regio Holland boven Amsterdam,1197,4,Noord Holland 
Volvo Car Nederland,1169,4,Noord Holland 
Bas Eickhout,1162,4,Noord Holland 
ABN AMRO,1151,4,Noord Holland 
EenVandaag,1143,4,Noord Holland 
Naturalis,1131,4,Noord Holland 
HappySoaps,1127,4,Noord Holland 
Wybren van Haga,1120,4,Noord Holland 
Libelle,1105,4,Noord Holland 
Deloitte,1103,4,Noord Holland 
Pensioenverlies,1088,4,Noord Holland 
Simyo,1084,4,Noord Holland 
Postcode Loterij,1082,4,Noord Holland 
Cultuur onder Vuur,1069,4,Noord Holland 
Gemeente Bergen NH,1068,4,Noord Holland 
KWF Kankerbestrijding / Dutch Cancer Society,1064,4,Noord Holland 
Klimaatalarm,1059,4,Noord Holland 
PitPoint NL,1049,4,Noord Holland 
Gezin in Gevaar,1045,4,Noord Holland 
Extinction Rebellion NL,1029,4,Noord Holland 
asr,1023,4,Noord Holland 
iCompario,1023,4,Noord Holland 
ChristenUnie Amsterdam,1020,4,Noord Holland 
Verziek het niet,1017,4,Noord Holland 
Nationaal Comité 4 en 5 mei,1016,4,Noord Holland 
Free Press Unlimited,1006,4,Noord Holland 
Sofyan Mbarki,996,3,Noord Holland 
Zootje Geregeld,990,3,Noord Holland 
Solease Zonnepanelen,960,3,Noord Holland 
Wijdoenwat.nl,960,3,Noord Holland 
Fossielvrij NL,940,3,Noord Holland 
Dokters van de Wereld (NL),931,3,Noord Holland 
De Balie,907,3,Noord Holland 
NRC,907,3,Noord Holland 
Algemene Onderwijsbond,898,3,Noord Holland 
Who Gives A Crap,895,3,Noord Holland 
Wakker Dier,890,3,Noord Holland 
Gemeente Haarlemmermeer,879,3,Noord Holland 
Oranje Fonds,878,3,Noord Holland 
Solidaridad,877,3,Noord Holland 
Humanistisch Verbond,869,3,Noord Holland 
Arla,869,3,Noord Holland 
WNL,861,3,Noord Holland 
Blendle,857,3,Noord Holland 
Periscoop Film,856,3,Noord Holland 
Talkshow M Kro-Ncrv,852,3,Noord Holland 
Democrats Abroad Netherlands,847,3,Noord Holland 
Jonge Klimaatbeweging,846,3,Noord Holland 
NLBeter,844,3,Noord Holland 
CNV Vakmensen,840,3,Noord Holland 
Rijksdienst voor Ondernemend Nederland - RVO,833,3,Noord Holland 
Nestlé,830,3,Noord Holland 
Tijdschrift,830,3,Noord Holland 
Gekleurdemondkapjes.nl,828,3,Noord Holland 
MBRC the ocean,827,3,Noord Holland 
Shampoo Bars Nederland,822,3,Noord Holland 
Unilever Benelux,819,3,Noord Holland 
NTR Wetenschap,817,3,Noord Holland 
IND - Immigratie- en Naturalisatiedienst,806,3,Noord Holland 
Humanistisch Verbond,806,3,Noord Holland 
Jongeren Milieu Actief - JMA,800,3,Noord Holland 
Mensen met een Missie,796,3,Noord Holland 
Vakbond De Unie,793,3,Noord Holland 
foodwatch Nederland,791,3,Noord Holland 
Stem op een Vrouw,787,3,Noord Holland 
Sigrid Kaag,786,3,Noord Holland 
Socialists and Democrats Group in the European Parliament,781,3,Noord Holland 
Kialo,778,3,Noord Holland 
The Mayor,777,3,Noord Holland 
Michel Rog,777,3,Noord Holland 
Open Universiteit,777,3,Noord Holland 
Power to the Paling,774,3,Noord Holland 
NRC - Norwegian Refugee Council,771,3,Noord Holland 
de Volksbank,768,3,Noord Holland 
Defence for Children,764,3,Noord Holland 
Lodewijk Asscher,759,3,Noord Holland 
"Achraf El Johari, Jongerenburgemeester van Amsterdam",750,3,Noord Holland 
Mijn Stem,750,3,Noord Holland 
Knalweg,750,3,Noord Holland 
CDA Amsterdam,745,3,Noord Holland 
Augeo,729,3,Noord Holland 
D66 Amsterdam,720,3,Noord Holland 
MIVA,718,3,Noord Holland 
Pointer (KRO-NCRV),715,3,Noord Holland 
Humanistisch Verbond,706,3,Noord Holland 
Pela Case,694,3,Noord Holland 
Mama Cash,693,3,Noord Holland 
Veteranendag,670,3,Noord Holland 
Raad075,666,3,Noord Holland 
Frederik Jansen,661,3,Noord Holland 
Jonge Democraten,654,3,Noord Holland 
KRNWTR,646,3,Noord Holland 
Forum voor Democratie -FVD,644,3,Noord Holland 
Hart voor Den Haag,644,3,Noord Holland 
International Justice Mission,642,3,Noord Holland 
Iedereen mediawijs,638,3,Noord Holland 
Treehuggers Bracelets,627,3,Noord Holland 
ActionAid Nederland,626,3,Noord Holland 
Voor 14,623,3,Noord Holland 
CDA Noord-Holland,622,3,Noord Holland 
Henri Bontenbal,622,3,Noord Holland 
World Animal Protection Nederland,622,3,Noord Holland 
Henk Jan Ormel,607,3,Noord Holland 
Omroep EVNS,607,3,Noord Holland 
50PLUSpartij,607,3,Noord Holland 
ING Nederland,599,3,Noord Holland 
IBi Kidzz,598,3,Noord Holland 
50PLUSpartij,597,3,Noord Holland 
Het Parool,595,3,Noord Holland 
Eigen Haard,594,3,Noord Holland 
Pvda Alkmaar,591,3,Noord Holland 
Humane Society International,584,3,Noord Holland 
Nacht van de Vluchteling,577,3,Noord Holland 
Missie Energie,574,3,Noord Holland 
"CDJA, CDA-jongeren",573,3,Noord Holland 
Plan Je Stem,567,3,Noord Holland 
Het AmsterdamDiner,565,3,Noord Holland 
FRIS Woningmakelaars,562,3,Noord Holland 
Away,554,3,Noord Holland 
IKEA Foundation,550,3,Noord Holland 
PvdA Amsterdam,550,3,Noord Holland 
Gemeente Beverwijk,549,3,Noord Holland 
Man tot Man,546,3,Noord Holland 
VVD Westfriesland,545,3,Noord Holland 
PAPER & BOO,539,3,Noord Holland 
Earthsider,539,3,Noord Holland 
SodaStream Nederland,533,3,Noord Holland 
Pathé Thuis,524,3,Noord Holland 
Cordaid,524,3,Noord Holland 
De Prijs van Privatisering,519,3,Noord Holland 
Reuswable,515,3,Noord Holland 
Oxxio,514,3,Noord Holland 
Justdiggit,511,3,Noord Holland 
Elke Stem Telt,505,3,Noord Holland 
Het AmsterdamDiner,503,3,Noord Holland 
Universiteit van Nederland,500,3,Noord Holland 
Sjoerd en de Stapelstad,500,3,Noord Holland 
Giro555,495,3,Noord Holland 
Klooker NL,493,3,Noord Holland 
Mijn Liefste Boek,492,3,Noord Holland 
50PLUSpartij,491,3,Noord Holland 
De Nieuwe Liefde,489,3,Noord Holland 
Europees Parlement Nederland,485,3,Noord Holland 
SP Amsterdam,483,3,Noord Holland 
Marinemuseum,482,3,Noord Holland 
Techradical,481,3,Noord Holland 
Jan Cees Vogelaar,473,3,Noord Holland 
SGP,470,3,Noord Holland 
World_Watchers,470,3,Noord Holland 
Fairtrade Nederland,468,3,Noord Holland 
Siriz,462,3,Noord Holland 
BoboNews,460,3,Noord Holland 
Best Kept Secret Festival,457,3,Noord Holland 
Plan International Nederland,455,3,Noord Holland 
Alkmaarse VVD,455,3,Noord Holland 
FNV Media & Cultuur,450,3,Noord Holland 
International Campaign for Tibet Europe,449,3,Noord Holland 
Greenpeace Nederland,445,3,Noord Holland 
Kim van Sparrentak,444,3,Noord Holland 
Marijn Poels Films,444,3,Noord Holland 
Warming Up,443,3,Noord Holland 
Vereniging Basisinkomen,443,3,Noord Holland 
Mr. Hans van Mierlo Stichting,440,3,Noord Holland 
Erwin Taams,440,3,Noord Holland 
Rutgers,438,3,Noord Holland 
Reinier Van Lanschot,431,3,Noord Holland 
Gemeente Haarlem,426,3,Noord Holland 
Vergroenjegas.nl,426,3,Noord Holland 
Lenovo Benelux,423,3,Noord Holland 
Melkweg Expo,422,3,Noord Holland 
Volkswagen,420,3,Noord Holland 
Stem op een Vrouw,419,3,Noord Holland 
Nederlandse Stichting voor het Gehandicapte Kind,419,3,Noord Holland 
Moka Joe Mag,415,3,Noord Holland 
FRIS Woningmakelaars Amsterdam,415,3,Noord Holland 
BRAC,411,3,Noord Holland 
Free to be me,405,3,Noord Holland 
mijnwoningisoleren.nl,405,3,Noord Holland 
Slimbespaard,401,3,Noord Holland 
Rijksdienst voor Ondernemend Nederland - RVO,396,3,Noord Holland 
EverGreen Capsules,396,3,Noord Holland 
Amsterdam Gastvrij,394,3,Noord Holland 
Pointer (KRO-NCRV),392,3,Noord Holland 
Einstein & Jones,391,3,Noord Holland 
Winq.nl,389,3,Noord Holland 
Uit ervaring,381,3,Noord Holland 
Shell,377,3,Noord Holland 
Kwestie van Beschaving,376,3,Noord Holland 
Eveline Herben,373,3,Noord Holland 
Varkens in Nood,373,3,Noord Holland 
No Place for Sex Trafficking,372,3,Noord Holland 
Arnout van den Bosch - Raadslid PvdA Amstelveen,372,3,Noord Holland 
Love my country,369,3,Noord Holland 
Council of the European Union,367,3,Noord Holland 
FairWork,366,3,Noord Holland 
SDOK,366,3,Noord Holland 
CDA Kop van Noord Holland,366,3,Noord Holland 
Tru Earth,356,3,Noord Holland 
Adanek's Blog,351,3,Noord Holland 
Gemeente Zaanstad,350,3,Noord Holland 
Power to the Paling,349,3,Noord Holland 
Young Impact,348,3,Noord Holland 
Eneco,346,3,Noord Holland 
The Bamboovement,345,3,Noord Holland 
Ofekraa,344,3,Noord Holland 
OPA - Onafhankelijke Partij Alkmaar,343,3,Noord Holland 
Splinter,342,3,Noord Holland 
Amsterdamse Klas,341,3,Noord Holland 
Slush,340,3,Noord Holland 
Americans Overseas,330,3,Noord Holland 
Sponsorpaal,329,3,Noord Holland 
Haagsch College,329,3,Noord Holland 
Impact Hub Amsterdam,321,3,Noord Holland 
TivoliVredenburg,319,3,Noord Holland 
CultureTrends,318,3,Noord Holland 
EasyEco,318,3,Noord Holland 
Volt Nederland,317,3,Noord Holland 
Waddenvereniging,316,3,Noord Holland 
Diabetes Fonds,316,3,Noord Holland 
House Of Hair & Beauty,314,3,Noord Holland 
VoteEuropa Nederland,314,3,Noord Holland 
Tuincentrum Osdorp,314,3,Noord Holland 
VVD,313,3,Noord Holland 
Van der Werff Controlling,313,3,Noord Holland 
EW Magazine,312,3,Noord Holland 
Our Fish,310,3,Noord Holland 
Erasmus MC Foundation,310,3,Noord Holland 
Amsterdam Dance Event,307,3,Noord Holland 
Wiezewasjes,306,3,Noord Holland 
NPO Kennis,306,3,Noord Holland 
The Bamboo Brush Society,305,3,Noord Holland 
Credcovers.nl,303,3,Noord Holland 
TWOTHIRDS,302,3,Noord Holland 
Thierry Baudet,302,3,Noord Holland 
Stadsdeel Amsterdam Zuidoost,300,3,Noord Holland 
Paul Tang,300,3,Noord Holland 
Music Moves,299,3,Noord Holland 
"Atria, voor gendergelijkheid en vrouwengeschiedenis",299,3,Noord Holland 
Climategate.nl,298,3,Noord Holland 
UK government,297,3,Noord Holland 
VVD Dijk en Waard,297,3,Noord Holland 
Democrats Abroad Netherlands,297,3,Noord Holland 
Raad075,295,3,Noord Holland 
Alkmaarse VVD,295,3,Noord Holland 
Malik Azmani,293,3,Noord Holland 
De Bezige Bij,293,3,Noord Holland 
Flamingos' Life,291,3,Noord Holland 
Eneco,287,3,Noord Holland 
Raymond Knops,285,3,Noord Holland 
SOSMoria,282,3,Noord Holland 
Eaulux,281,3,Noord Holland 
ACN - Kerk in Nood,280,3,Noord Holland 
Partij voor de Dieren Alkmaar,280,3,Noord Holland 
Harry van der Molen,279,3,Noord Holland 
The Black Archives,279,3,Noord Holland 
Rode Kruis,277,3,Noord Holland 
Lilianne Ploumen,277,3,Noord Holland 
Slow Fashion Movement,276,3,Noord Holland 
"DWARS, GroenLinkse Jongeren",276,3,Noord Holland 
SUSA flexibel studentenwerk,275,3,Noord Holland 
European Greens,275,3,Noord Holland 
Motiv Academy,275,3,Noord Holland 
Mensen met een Missie,273,3,Noord Holland 
Bever,273,3,Noord Holland 
VPRO Zomergasten,271,3,Noord Holland 
SP Noord-Holland,270,3,Noord Holland 
Raad075,270,3,Noord Holland 
Wholesome Culture,264,3,Noord Holland 
TreeClicks,262,3,Noord Holland 
WeDigital,261,3,Noord Holland 
Pvda Huizen,261,3,Noord Holland 
D66 Westfriesland,259,3,Noord Holland 
Gemeentebelangen Purmerend,257,3,Noord Holland 
Fridays For Future Netherlands,257,3,Noord Holland 
SizzL- Dating Events,257,3,Noord Holland 
VVD Hilversum,257,3,Noord Holland 
Judith Sargentini,256,3,Noord Holland 
Vrijheidscolleges,254,3,Noord Holland 
Renaissance Instituut,250,3,Noord Holland 
Samsonite,249,3,Noord Holland 
Philips,249,3,Noord Holland 
Artsen zonder Grenzen,248,3,Noord Holland 
DeVooravond,247,3,Noord Holland 
CDA Gooise Meren,245,3,Noord Holland 
KBO-Brabant,244,3,Noord Holland 
VBO,244,3,Noord Holland 
Kancelaria Adwokacka Arslan & Arslan Advocaten,243,3,Noord Holland 
Krant.nl,242,3,Noord Holland 
Bioodi,240,3,Noord Holland 
Terre des Hommes Nederland,240,3,Noord Holland 
Feelgoodwinkel,240,3,Noord Holland 
Unilever Benelux,240,3,Noord Holland 
Lab Toekomstige Generaties,239,3,Noord Holland 
Sendcloud,238,3,Noord Holland 
Gemeente Diemen,237,3,Noord Holland 
Minister van Gehandicaptenzaken,235,3,Noord Holland 
WOMEN Inc.,235,3,Noord Holland 
VVD Hilversum,235,3,Noord Holland 
Club9,234,3,Noord Holland 
