Page ID,Party,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library,valid_adds
341298732915644,VVD,VVD Middelburg,Wilfried Boonman,100,10,no
342564449464162,VVD,VVD Schiedam,These ads ran without a disclaimer,100,1,yes
344688586019193,VVD,VVD Hoeksche Waard,VVD Hoeksche Waard,100,1,no
346093205489554,VVD,VVD Emmen,These ads ran without a disclaimer,100,3,yes
346704992122344,VVD,VVD Bunschoten,These ads ran without a disclaimer,100,2,yes
358414441297967,VVD,Vlaardingse VVD,These ads ran without a disclaimer,100,1,yes
360950014036006,VVD,VVD Smallingerland,These ads ran without a disclaimer,100,1,yes
367174533369302,VVD,VVD Scherpenzeel,These ads ran without a disclaimer,100,1,yes
383092391883267,VVD,De Nieuwegeinse VVD,These ads ran without a disclaimer,100,3,yes
383790798412506,VVD,VVD Weststellingwerf,VVD Weststellingwerf,100,5,no
394219543964508,VVD,De Bredase VVD,These ads ran without a disclaimer,100,1,yes
394219543964508,VVD,De Bredase VVD,VVD Breda,100,1,no
423071014421919,VVD,VVD Hilversum,These ads ran without a disclaimer,100,2,yes
448759811826413,VVD,VVD Roermond,Arjan Meuwissen,100,10,no
453689644643513,VVD,VVD Lelystad,VVD Lelystad,100,4,no
457810957661494,VVD,VVD-Maashorst,These ads ran without a disclaimer,100,2,yes
473422542679870,VVD,VVD Alphen a/d Rijn,Leenaerts Bas M,100,11,no
473422542679870,VVD,VVD Alphen a/d Rijn,These ads ran without a disclaimer,100,9,yes
476759392439445,VVD,VVD Landgraaf,VVD Landgraaf,100,1,no
476759392439445,VVD,VVD Landgraaf,These ads ran without a disclaimer,100,1,yes
487529177944861,VVD,De Bergse VVD,Joost Pals,100,11,no
498944610134140,VVD,VVD Leidschendam-Voorburg,VVD Leidschendam-Voorburg,100,3,no
504176193038156,VVD,VVD Stede Broec,These ads ran without a disclaimer,100,1,yes
521653237872282,VVD,VVD Losser,These ads ran without a disclaimer,100,2,yes
529757857120942,VVD,VVD Rijswijk,These ads ran without a disclaimer,100,3,yes
535497706467042,VVD,VVD Goes,Chantal Peereboom,100,2,no
542359679187058,VVD,VVD Het Hogeland,Stefan Van Keijzerswaard - de Groot,100,5,no
590372277656268,VVD,VVD Heerenveen,These ads ran without a disclaimer,100,2,yes
590372277656268,VVD,VVD Heerenveen,Tjeerd Waterlander,100,2,no
604919512865485,VVD,VVD Wijdemeren,VVD Wijdemeren,100,1,no
689730844383927,VVD,VVD Lochem,These ads ran without a disclaimer,100,4,yes
715536175131982,VVD,VVD Venray,VVD Venray,100,3,no
721812541177719,VVD,VVD Kirchroa,These ads ran without a disclaimer,100,5,yes
731311010222651,VVD,VVD Aalsmeer Kudelstaart,These ads ran without a disclaimer,100,2,yes
783192395169199,VVD,VVD Waterland,These ads ran without a disclaimer,100,1,yes
806683962693581,VVD,VVD Papendrecht,These ads ran without a disclaimer,100,1,yes
818385898182914,VVD,VVD Fryslan,Marc Van Niekerk Thie,100,3,no
828124077223507,VVD,VVD Wijk Bij Duurstede,These ads ran without a disclaimer,100,1,yes
852631531480102,VVD,VVD Voerendaal,These ads ran without a disclaimer,100,1,yes
853228418123320,VVD,VVD Drimmelen,VVD Drimmelen,100,1,no
920935371318767,VVD,De Veldhovense VVD,These ads ran without a disclaimer,100,1,yes
922275131120043,VVD,VVD Oss,VVD Oss,100,6,no
930099740342915,VVD,VVD Eemsdelta,These ads ran without a disclaimer,100,4,yes
937513793002837,VVD,VVD Zaanstad,These ads ran without a disclaimer,100,2,yes
945761432159312,VVD,VVD Voorne,VVD Voorne,100,1,no
971443309666536,VVD,VVD Tytsjerksteradiel,These ads ran without a disclaimer,100,2,yes
748985915209148,CDA,CDA Boxtel,Gijs van der Heijden,100,10,no
480488435784054,CDA,CDA Pride,CDA,100,1,no
569095910244859,CDA,CDA Alkmaar,CDA Alkmaar,100,3,no
262802337226392,CDA,CDA Wijchen,These ads ran without a disclaimer,100,6,yes
134845486657988,CDA,CDA Terneuzen,Jos Van Ginneken,100,21,no
599313950125078,CDA,CDA Kerkrade,CDA Kerkrade,100,8,no
103497724987398,CDA,Gelderlandkiestcda,These ads ran without a disclaimer,100,4,yes
1732885833661470,CDA,CDA Heerlen,CDA Heerlen,100,1,no
875156262507508,CDA,CDA Venray,CDA Venray,100,3,no
135376383177889,CDA,CDA Katwijk,CDA Katwijk,100,5,no
312923848793774,CDA,CDA Huizen,CDA Huizen,100,7,no
890769134318110,CDA,CDA Zwolle,These ads ran without a disclaimer,100,1,yes
343995085744200,CDA,CDA Veenendaal,These ads ran without a disclaimer,100,5,yes
251158461698171,CDA,CDA-Hilversum,These ads ran without a disclaimer,100,1,yes
220440588148776,CDA,CDA Sluis,Van Deursen Patricia Elza Maria,100,4,no
106071838152724,CDA,CDA Opmeer,CDA Opmeer,100,2,no
135642563196256,CDA,"CDJA, CDA-jongeren",These ads ran without a disclaimer,100,5,yes
713923081953772,CDA,CDA-Landgraaf,Cda Landgraaf,100,6,no
260653317801997,CDA,CDA Opsterland,These ads ran without a disclaimer,100,3,yes
771521899540181,CDA,CDA Bergen op Zoom,These ads ran without a disclaimer,100,7,yes
1557210341199535,CDA,CDA Zaanstad,These ads ran without a disclaimer,100,1,yes
327605354041024,CDA,CDA Zeeland,Easther Houmes,100,1,no
461778550537027,CDA,CDA Dongen - 's Gravenmoer,CDA Dongen - 's Gravenmoer,100,2,no
195903857175578,CDA,CDA Zeewolde,CDA Zeewolde,100,4,no
920592431361475,CDA,CDA Den Helder,These ads ran without a disclaimer,100,4,yes
1783365325218130,CDA,CDA Amstelveen,These ads ran without a disclaimer,100,10,yes
305525042814385,CDA,CDA Maastricht,These ads ran without a disclaimer,100,1,yes
779064112119015,CDA,CDA Waalre,These ads ran without a disclaimer,100,2,yes
211527752371216,CDA,CDA.sonenbreugel,CDA Son en Breugel,100,1,no
192600774817587,CDA,CDA Harlingen,These ads ran without a disclaimer,100,8,yes
348600985220459,CDA,CDA Utrecht,These ads ran without a disclaimer,100,2,yes
1649013595380040,CDA,CDA Midden-Groningen,Marlies Roelvink,100,2,no
630170627073175,CDA,CDA Valkenburg a/d Geul,These ads ran without a disclaimer,100,3,yes
193223164173865,CDA,CDA Neder-Betuwe,These ads ran without a disclaimer,100,4,yes
135642563196256,CDA,"CDJA, CDA-jongeren","CDJA, CDA-Jongeren",100,5,no
686529124720085,CDA,CDA West Maas en Waal,Frans Van Gelder,100,1,no
698451706850384,CDA,CDA Noordwijk-Noordwijkerhout-De Zilk,These ads ran without a disclaimer,100,3,yes
1512067898874085,CDA,CDA Heemskerk,These ads ran without a disclaimer,100,3,yes
618699471497068,CDA,CDA Drimmelen,CDA Drimmelen,100,3,no
194981260596528,CDA,CDA Apeldoorn,These ads ran without a disclaimer,100,3,yes
736861463159374,CDA,CDA Kop van Noord Holland,These ads ran without a disclaimer,100,4,yes
226133584536501,CDA,CDA Altena,These ads ran without a disclaimer,100,3,yes
616257468385419,CDA,CDA Haarlem,These ads ran without a disclaimer,100,6,yes
449134611796644,CDA,CDA Lisse,These ads ran without a disclaimer,100,4,yes
616257468385419,CDA,CDA Haarlem,Juriaan L Visser,100,7,no
1595248250741419,CDA,CDA Harderwijk Hierden,These ads ran without a disclaimer,100,3,yes
1732885833661470,CDA,CDA Heerlen,These ads ran without a disclaimer,100,2,yes
610561445683906,CDA,CDA Mill en Sint Hubert,These ads ran without a disclaimer,100,2,yes
212787845829630,CDA,CDA Waadhoeke,Robert Van Der Spek,100,1,no
238075096364508,CDA,CDA Asten,These ads ran without a disclaimer,100,1,yes
202773499768178,CDA,CDA Hattem,CDA Hattem,100,2,no
338902089618318,CDA,CDA Den Bosch,These ads ran without a disclaimer,100,2,yes
495077074013552,CDA,CDA Zoeterwoude,CDA Zoeterwoude,100,1,no
539113479503987,CDA,CDA Oirschot - De Beerzen,CDA Oirschot - de Beerzen,100,1,no
397283743670490,CDA,CDA Vijfheerenlanden,Schoonhoven Abraham,100,1,no
458375320980518,CDA,CDA Bloemendaal,Elzbieta Dreijer-Kwiatkowska,100,8,no
1107043432765171,CDA,CDA Ommen,These ads ran without a disclaimer,100,1,yes
244033095778625,CDA,CDA Almere,These ads ran without a disclaimer,100,5,yes
259622384190321,CDA,Lokaal CDA gemeente Epe,These ads ran without a disclaimer,100,2,yes
645564278828304,CDA,CDA Bergen-NH,These ads ran without a disclaimer,100,2,yes
429679917098992,CDA,CDA Lansingerland,These ads ran without a disclaimer,100,3,yes
626270210729407,CDA,CDA Purmerend,These ads ran without a disclaimer,100,1,yes
151541561675000,CDA,CDA Sint-Michielsgestel,These ads ran without a disclaimer,100,1,yes
1787602688161421,CDA,CDA Smallingerland,These ads ran without a disclaimer,100,1,yes
226133584536501,CDA,CDA Altena,CDA Altena,100,1,no
259622384190321,CDA,Lokaal CDA gemeente Epe,Lokaal CDA gemeente Epe,100,1,no
196310430554710,CDA,CDA Woudenberg,These ads ran without a disclaimer,100,2,yes
178954178962718,CDA,CDA Midden-Drenthe,These ads ran without a disclaimer,100,1,yes
483478691758983,CDA,CDA Barendrecht,These ads ran without a disclaimer,100,1,yes
307917159696642,CDA,CDA Krimpen,CDA Krimpen,100,2,no
441341285986856,CDA,CDA Gouda,These ads ran without a disclaimer,100,1,yes
323069454456751,CDA,CDA Doesburg,These ads ran without a disclaimer,100,1,yes
297370010365715,CDA,CDA Medemblik,CDA,100,1,no
102851356485793,CDA,CDA Ede,These ads ran without a disclaimer,100,1,yes
102119459848996,CDA,CDA Venlo,These ads ran without a disclaimer,100,1,yes
135140860013782,CDA,CDA Edam-Volendam,These ads ran without a disclaimer,100,1,yes
760125597332468,CDA,CDA Zwijndrecht,These ads ran without a disclaimer,100,1,yes
184189882389473,CDA,CDA Hoeksche Waard,These ads ran without a disclaimer,100,1,yes
339932172815655,CDA,CDA Goirle Riel,These ads ran without a disclaimer,100,1,yes
213849225325847,CDA,CDA Stede Broec,These ads ran without a disclaimer,100,1,yes
251874718679696,CDA,CDA Steenwijkerland,These ads ran without a disclaimer,100,1,yes
445945465509986,CDA,CDA Someren,These ads ran without a disclaimer,100,1,yes
220365728121924,CDA,CDA Koggenland,These ads ran without a disclaimer,100,1,yes
148429941847666,CDA,CDA Limburg,These ads ran without a disclaimer,100,1,yes
130377573838100,CDA,CDA Amersfoort,These ads ran without a disclaimer,100,4,yes
599313950125078,CDA,CDA Kerkrade,These ads ran without a disclaimer,100,1,yes
418249331586629,CDA,CDA Raalte,These ads ran without a disclaimer,100,1,yes
1417520661873955,CDA,CDA Ermelo,Stoffel Verploeg,100,1,no
195220513824326,CDA,CDA Urk,These ads ran without a disclaimer,100,1,yes
642712149497103,GroenLinks,GroenLinks Oegstgeest,These ads ran without a disclaimer,100,13,yes
319619458061587,GroenLinks,WB GroenLinks,Wetenschappelijk Bureau GroenLinks,100,1,no
906928256312779,GroenLinks,GroenLinks Best,GroenLinks Eindhoven,100,11,no
1414350562183210,GroenLinks,GroenLinks Alkmaar,Seignette Roy,100,2,no
521898577941258,GroenLinks,Groenlinks Kampen,GroenLinks Kampen,100,2,no
642712149497103,GroenLinks,GroenLinks Oegstgeest,GroenLinks Oegstgeest,100,6,no
103360741627020,GroenLinks,GroenLinks Oirschot,GroenLinks Oirschot,100,6,no
180322962326,GroenLinks,GroenLinks Veenendaal,GroenLinks Veenendaal,100,10,no
703877319733931,GroenLinks,GroenLinks Zoetermeer,Joram Vermond,100,9,no
386396184818902,GroenLinks,GroenLinks Sittard-Geleen,These ads ran without a disclaimer,100,1,yes
439958286016356,GroenLinks,GroenLinks Gelderland,These ads ran without a disclaimer,100,3,yes
434756543235602,GroenLinks,GroenLinks Alphen aan den Rijn,Erik Van Zuylen,100,12,no
888203524868856,GroenLinks,GroenLinks Veldhoven,Groenlinks Veldhoven,100,6,no
2082563628696526,GroenLinks,GroenLinks Steenwijkerland,Jeannette Nijhuis,100,2,no
1411283215766694,GroenLinks,GroenLinks Helmond,These ads ran without a disclaimer,100,6,yes
174522982750697,GroenLinks,GroenLinks Edam-Volendam,GroenLinks Edam-Volendam,100,15,no
521898577941258,GroenLinks,Groenlinks Kampen,These ads ran without a disclaimer,100,1,yes
434756543235602,GroenLinks,GroenLinks Alphen aan den Rijn,Sara De Waal,100,5,no
573092316220069,GroenLinks,GroenLinks Drenthe,These ads ran without a disclaimer,100,2,yes
995464427271491,GroenLinks,GroenLinks Weststellingwerf,Gaby Thijssen,100,5,no
439958286016356,GroenLinks,GroenLinks Gelderland,Mickel Langeveld,100,2,no
906928256312779,GroenLinks,GroenLinks Best,These ads ran without a disclaimer,100,5,yes
1166808893329408,GroenLinks,GroenLinks Overbetuwe,GroenLinks Overbetuwe,100,12,no
153189941370381,GroenLinks,GroenLinks Berg en Dal,GroenLinks Berg en Dal,100,5,no
270050976436396,GroenLinks,GroenLinks Leidschendam-Voorburg,GroenLinks Leidschendam-Voorburg,100,4,no
295724207160150,GroenLinks,GroenLinks Amsterdam,GroenLinks Amsterdam,100,4,no
270050976436396,GroenLinks,GroenLinks Leidschendam-Voorburg,These ads ran without a disclaimer,100,3,yes
661049547329075,GroenLinks,GroenLinks Lochem,These ads ran without a disclaimer,100,4,yes
1403428756564141,GroenLinks,Progressief Akkoord - GroenLinks Deurne,These ads ran without a disclaimer,100,4,yes
917881558331205,GroenLinks,GroenLinks Castricum,GroenLinks Castricum,100,3,no
550239991805691,GroenLinks,GroenLinks Oss,GroenLinks Oss,100,1,no
550239991805691,GroenLinks,GroenLinks Oss,These ads ran without a disclaimer,100,2,yes
334224188495,GroenLinks,GroenLinks Leiden,Esra Vander Heijden,100,1,no
241078299830628,GroenLinks,GroenLinks Westerkwartier,Wybo Van Der Hoek,100,1,no
502630913183362,GroenLinks,GroenLinks Meppel,These ads ran without a disclaimer,100,2,yes
703877319733931,GroenLinks,GroenLinks Zoetermeer,These ads ran without a disclaimer,100,2,yes
116050085145365,GroenLinks,GroenLinks Rotterdam,These ads ran without a disclaimer,100,1,yes
227891484046459,GroenLinks,GroenLinks Flevoland,These ads ran without a disclaimer,100,2,yes
434409393299952,GroenLinks,GroenLinks Oosterhout,These ads ran without a disclaimer,100,1,yes
180322962326,GroenLinks,GroenLinks Veenendaal,These ads ran without a disclaimer,100,2,yes
1940934655935968,GroenLinks,GroenLinks Aa en Hunze,These ads ran without a disclaimer,100,3,yes
939048969472738,GroenLinks,GroenLinks Bloemendaal,These ads ran without a disclaimer,100,1,yes
387703957918671,GroenLinks,GroenLinks Leeuwarden,These ads ran without a disclaimer,100,1,yes
1381731098742805,GroenLinks,PvdA-GroenLinks Boxtel,These ads ran without a disclaimer,100,1,yes
502630913183362,GroenLinks,GroenLinks Meppel,GroenLinks Meppel,100,1,no
698044973586589,GroenLinks,Groenlinks Baarn,These ads ran without a disclaimer,100,1,yes
1411283215766694,GroenLinks,GroenLinks Helmond,Lara Tamarinof,100,2,no
428488197166010,GroenLinks,GroenLinks Venlo,These ads ran without a disclaimer,100,1,yes
434756543235602,GroenLinks,GroenLinks Alphen aan den Rijn,These ads ran without a disclaimer,100,1,yes
383355255040336,GroenLinks,GroenLinks Nijmegen,GroenLinks Nijmegen,100,1,no
319619458061587,GroenLinks,WB GroenLinks,These ads ran without a disclaimer,100,1,yes
154736434721703,GroenLinks,Groenlinks Schagen,These ads ran without a disclaimer,100,1,yes
250437457508,GroenLinks,GroenLinks Arnhem,These ads ran without a disclaimer,100,2,yes
995464427271491,GroenLinks,GroenLinks Weststellingwerf,These ads ran without a disclaimer,100,1,yes
275546039601538,GroenLinks,GroenLinks Sint-Michielsgestel,These ads ran without a disclaimer,100,1,yes
168582430001649,GroenLinks,GroenLinks Dordrecht,These ads ran without a disclaimer,100,1,yes
1166808893329408,GroenLinks,GroenLinks Overbetuwe,These ads ran without a disclaimer,100,1,yes
334224188495,GroenLinks,GroenLinks Leiden,These ads ran without a disclaimer,100,1,yes
1745762299021142,GroenLinks,GroenLinks Midden-Groningen,These ads ran without a disclaimer,100,1,yes
181031342395,GroenLinks,GroenLinks Groningen,These ads ran without a disclaimer,100,1,yes
717249231795539,BIJ1,BIJ1,These ads ran without a disclaimer,100,2,yes
170469190212212,BIJ1,Rotterdam BIJ1,Rotterdam BIj1,100,2,no
392732001145937,BIJ1,Amsterdam BIJ1,These ads ran without a disclaimer,100,9,yes
170469190212212,BIJ1,Rotterdam BIJ1,These ads ran without a disclaimer,100,2,yes
170469190212212,BIJ1,Rotterdam BIJ1,Sandra Salome,100,1,no
1383104228576987,PvdA,PvdA Vlaardingen,These ads ran without a disclaimer,100,1,yes
508079819307153,PvdA,PvdA Almelo,Arjan De Vries,100,10,no
296016837171041,PvdA,PvdA Steenwijkerland,PvdA Steenwijkerland,100,11,no
1380763172182215,PvdA,Pvda Lingewaard,These ads ran without a disclaimer,100,3,yes
1389317844656912,PvdA,PvdA Tilburg,These ads ran without a disclaimer,100,11,yes
418227798205443,PvdA,PvdA-Hoorn,PvdA Hoorn,100,8,no
296016837171041,PvdA,PvdA Steenwijkerland,These ads ran without a disclaimer,100,1,yes
518030681575705,PvdA,PvdA Eindhoven,Stichting Raadswerk PvdA Eindhoven,100,4,no
220138834728873,PvdA,PvdA Kerkrade,PvdA Kerkrade,100,3,no
476345199077535,PvdA,PvdA Geldrop-Mierlo,Richard Van De Burgt,100,3,no
1715340175444649,PvdA,PvdA Stichtse Vecht,Van Der Wijck George Michael Theodoor,100,4,no
377484722432934,PvdA,PvdA Provincie Utrecht,These ads ran without a disclaimer,100,3,yes
1389317844656912,PvdA,PvdA Tilburg,PvdA Tilburg,100,10,no
190869220945975,PvdA,PvdA Den Haag,Partij van de Arbeid (PvdA),100,1,no
199340240080632,PvdA,PvdA Europa,PvdA,100,1,no
516828615098303,PvdA,PvdA Amstelveen,PvdA Amstelveen,100,2,no
1561655447470490,PvdA,PvdA Beverwijk-Wijk aan Zee,These ads ran without a disclaimer,100,1,yes
330384780486845,PvdA,PvdA Provincie Groningen,These ads ran without a disclaimer,100,3,yes
476345199077535,PvdA,PvdA Geldrop-Mierlo,These ads ran without a disclaimer,100,2,yes
320593364806627,PvdA,Pvda Krimpen,These ads ran without a disclaimer,100,5,yes
732205243634926,PvdA,PvdA Heiloo,These ads ran without a disclaimer,100,2,yes
220138834728873,PvdA,PvdA Kerkrade,These ads ran without a disclaimer,100,3,yes
1393972554182063,PvdA,PvdA Winterswijk,PvdA Winterswijk,100,3,no
206998282815876,PvdA,PvdA Midden-Delfland,Meijdam Bestiaan Johan,100,4,no
583900934989488,PvdA,PvdA-Harderwijk,These ads ran without a disclaimer,100,4,yes
1715340175444649,PvdA,PvdA Stichtse Vecht,PvdA Stichtse Vecht,100,5,no
451407014874001,PvdA,PvdA Utrecht,These ads ran without a disclaimer,100,1,yes
522603781144544,PvdA,PvdA Almere,Brigitte Hielkema-koeslag,100,2,no
190869220945975,PvdA,PvdA Den Haag,These ads ran without a disclaimer,100,2,yes
654552347982213,PvdA,PvdA/GroenLinks De Ronde Venen,These ads ran without a disclaimer,100,1,yes
418227798205443,PvdA,PvdA-Hoorn,These ads ran without a disclaimer,100,3,yes
140205082843346,PvdA,Pvda Rijswijk,These ads ran without a disclaimer,100,4,yes
187885148045634,PvdA,Pvda Hof van Twente,Koster Joris L,100,3,no
1663807260315461,PvdA,PvdA Het Hogeland,These ads ran without a disclaimer,100,3,yes
533612593362231,PvdA,PvdA Tytsjerksteradiel,These ads ran without a disclaimer,100,2,yes
1510532972292654,PvdA,Partij van de Arbeid PvdA Midden-Groningen,PvdA afdeling Midden-Groningen,100,2,no
630864096938801,PvdA,PvdA Smallingerland,Anton Pieters,100,2,no
208032132579030,PvdA,PvdA Groningen,These ads ran without a disclaimer,100,6,yes
998027266909008,PvdA,Pvda Bronckhorst,These ads ran without a disclaimer,100,4,yes
437846019616612,PvdA,PvdA Ede,These ads ran without a disclaimer,100,2,yes
190869220945975,PvdA,PvdA Den Haag,Bas Beekman,100,2,no
395020097267467,PvdA,Pvda Amsterdam Oost,Alba León,100,5,no
115241245317898,PvdA,PvdA Roosendaal,PvdA Roosendaal,100,1,no
616490005068036,PvdA,PvdA Medemblik,These ads ran without a disclaimer,100,1,yes
1995851374019790,PvdA,PvdA Sluis,These ads ran without a disclaimer,100,3,yes
1995851374019790,PvdA,PvdA Sluis,Joyce Kramer,100,2,no
1422889834673368,PvdA,PvdA Valkenswaard,These ads ran without a disclaimer,100,1,yes
630864096938801,PvdA,PvdA Smallingerland,These ads ran without a disclaimer,100,2,yes
103025673101606,PvdA,PvdA-Drenthe,These ads ran without a disclaimer,100,2,yes
234858363335659,PvdA,PvdA Haren,These ads ran without a disclaimer,100,3,yes
316719818346344,PvdA,PvdA Borger-Odoorn,These ads ran without a disclaimer,100,1,yes
863916193670914,PvdA,PvdA Woerden,These ads ran without a disclaimer,100,1,yes
140205082843346,PvdA,Pvda Rijswijk,Rijswijkse PvdA,100,2,no
230610190325538,PvdA,PvdA Hollands Kroon,These ads ran without a disclaimer,100,1,yes
190173454467936,PvdA,PvdA Haarlemmermeer,These ads ran without a disclaimer,100,1,yes
1381731098742805,PvdA,PvdA-GroenLinks Boxtel,These ads ran without a disclaimer,100,1,yes
208105776983,PvdA,PvdA Heerlen,PvdA Heerlen,100,1,no
186407568165708,PvdA,Pvda Beesel-Reuver,These ads ran without a disclaimer,100,4,yes
668085866536115,PvdA,Pvda Rheden en Rozendaal,These ads ran without a disclaimer,100,1,yes
423624667726498,PvdA,PvdA Nissewaard,Wouter Struijk,100,1,no
320593364806627,PvdA,Pvda Krimpen,PvdA Krimpen,100,1,no
423624667726498,PvdA,PvdA Nissewaard,These ads ran without a disclaimer,100,2,yes
230026360513786,PvdA,Pvda Waterland,These ads ran without a disclaimer,100,2,yes
516828615098303,PvdA,PvdA Amstelveen,These ads ran without a disclaimer,100,1,yes
540144089412228,PvdA,PvdA Zwijndrecht.,These ads ran without a disclaimer,100,1,yes
667585943263634,PvdA,Pvda Alkmaar,These ads ran without a disclaimer,100,2,yes
1218520171552619,PvdA,PvdA Noordoostpolder,These ads ran without a disclaimer,100,1,yes
564725660245239,PvdA,PvdA Maassluis,These ads ran without a disclaimer,100,1,yes
613711391989275,PvdA,Pvda Montferland,These ads ran without a disclaimer,100,1,yes
306810719374111,PvdA,PvdA Reusel De Mierden,These ads ran without a disclaimer,100,1,yes
366349027034383,PvdA,PvdA Heumen,These ads ran without a disclaimer,100,1,yes
199340240080632,PvdA,PvdA Europa,These ads ran without a disclaimer,100,1,yes
508079819307153,PvdA,PvdA Almelo,These ads ran without a disclaimer,100,1,yes
123604241074923,PvdA,PvdA Brabant,These ads ran without a disclaimer,100,1,yes
187885148045634,PvdA,Pvda Hof van Twente,These ads ran without a disclaimer,100,1,yes
1393972554182063,PvdA,PvdA Winterswijk,These ads ran without a disclaimer,100,1,yes
1551637291831665,PvdA,PvdA Waalwijk,These ads ran without a disclaimer,100,1,yes
115241245317898,PvdA,PvdA Roosendaal,These ads ran without a disclaimer,100,1,yes
416002915117744,PvdA,PvdA Teylingen,These ads ran without a disclaimer,100,1,yes
476388839115117,PvdA,Partij van de Arbeid Zaanstad,PvdA Zaanstreek,100,6,no
472296739547854,PvdA,Partij van de Arbeid - Ommen,René van der Linde,100,12,no
476388839115117,PvdA,Partij van de Arbeid Zaanstad,These ads ran without a disclaimer,100,4,yes
250194101810997,PvdA,Partij van de Arbeid Gouda,PvdA Gouda,100,1,no
547661161996857,PvdA,Partij van de Arbeid Woensdrecht,These ads ran without a disclaimer,100,1,yes
1522391087848593,PvdD,Partij voor de Dieren - werkgroep Lochem,Partij voor de Dieren Geldeland,100,2,no
174753755981452,PvdD,Partij voor de Dieren Gelderland,Partij voor de Dieren Gelderland,100,3,no
153434794680208,PvdD,Partij voor de Dieren Noord-Brabant,These ads ran without a disclaimer,100,3,yes
850253651682648,PvdD,Partij voor de Dieren Flevoland,These ads ran without a disclaimer,100,1,yes
129568950441577,PvdD,Partij voor de Dieren Zeeland,Partij voor de Dieren Zeeland,100,1,no
290134957713451,PvdD,Partij voor de Dieren Noord-Holland,Kostic Ines,100,2,no
217567158255542,PvdD,Partij voor de Dieren Limburg,These ads ran without a disclaimer,100,3,yes
217567158255542,PvdD,Partij voor de Dieren Limburg,Partij voor de Dieren Limburg,100,3,no
1746352698711497,PvdD,Partij voor de Dieren Almere,Luijendijk Jesse,100,1,no
850253651682648,PvdD,Partij voor de Dieren Flevoland,Luijendijk Jesse,100,1,no
311026109316385,PvdD,Partij voor de Dieren werkgroep Culemborg,Partij voor de Dieren Gelderland,100,1,no
976825745813543,PvdD,Partij voor de Dieren Gemeente Groningen,Stichting Ondersteuning Groningse Gemeenteraadsfractie PvdD,100,2,no
522244664875827,PvdD,Partij voor de Dieren Dronten,Corelis Kielen,100,3,no
444772086026343,PvdD,Partij voor de Dieren Lelystad,Corelis Kielen,100,1,no
128863843840889,PvdD,Partij voor de Dieren Utrecht,These ads ran without a disclaimer,100,1,yes
1746352698711497,PvdD,Partij voor de Dieren Almere,These ads ran without a disclaimer,100,1,yes
294901587336825,PVV,PVV Fryslan,These ads ran without a disclaimer,100,2,yes
1967914100151475,PVV,PVV Stichtse Vecht,These ads ran without a disclaimer,100,2,yes
156993281594555,PVV,PVV Lelystad,These ads ran without a disclaimer,100,1,yes
449928585192308,PVV,PVV Gelderland,These ads ran without a disclaimer,100,1,yes
330953914086255,PVV,PVV Terneuzen,These ads ran without a disclaimer,100,1,yes
699772150456009,PVV,PVV Nissewaard,These ads ran without a disclaimer,100,1,yes
1263240523724892,PVV,PVV Sittard-Geleen,These ads ran without a disclaimer,100,1,yes
957516271079756,PVV,PVV Dordrecht,These ads ran without a disclaimer,100,1,yes
385625301862587,PVV,PVV Utrecht,These ads ran without a disclaimer,100,1,yes
185988911871870,PVV,PVV Hengelo,These ads ran without a disclaimer,100,1,yes
115600180276143,Lijst30,Lijst30,Lijst 30,100,4,no
115600180276143,Lijst30,Lijst30,These ads ran without a disclaimer,100,2,yes
555679867783372,SP,SP Bernheze,Jan Van Den Broek,100,52,no
571432623341874,SP,SP Purmerend,Meeder Pim,100,7,no
571432623341874,SP,SP Purmerend,These ads ran without a disclaimer,100,2,yes
289522761094912,SP,SP Breda,SP Breda,100,5,no
358346067510653,SP,SP Gouda,Boris Stil,100,7,no
125382950819455,SP,SP Groningen,These ads ran without a disclaimer,100,2,yes
252299414886741,SP,SP Deventer,C.J. Sterkenburg,100,5,no
136653320218,SP,SP Rotterdam,Tijs Hardam,100,4,no
490557484330937,SP,SP Vlaardingen,Hoekstra Arnout John,100,3,no
305271288472,SP,SP Den Haag,Hoefsloot Rick,100,2,no
1441662002729821,SP,SP Haarlem,These ads ran without a disclaimer,100,3,yes
600613763337572,SP,SP Lelystad,These ads ran without a disclaimer,100,1,yes
289522761094912,SP,SP Breda,These ads ran without a disclaimer,100,2,yes
1207987872568660,SP,SP Zutphen/Warnsveld,These ads ran without a disclaimer,100,2,yes
118479041566849,SP,SP Schagen,Ronald G Komen,100,2,no
644446145669723,SP,SP Enschede,These ads ran without a disclaimer,100,1,yes
339241753098101,SP,SP Veenendaal,These ads ran without a disclaimer,100,5,yes
305271288472,SP,SP Den Haag,These ads ran without a disclaimer,100,1,yes
1385539908345370,SP,SP Capelle aan den IJssel,These ads ran without a disclaimer,100,1,yes
699014280188216,SP,SP Noord-Holland,These ads ran without a disclaimer,100,2,yes
166722416859309,SP,SP Winterswijk,These ads ran without a disclaimer,100,1,yes
497053027078764,SP,SP Goirle,These ads ran without a disclaimer,100,1,yes
454775281239898,SP,SP Doesburg,Michael Bouwman,100,1,no
190998791633352,SP,SP Landgraaf,These ads ran without a disclaimer,100,1,yes
555679867783372,SP,SP Bernheze,These ads ran without a disclaimer,100,1,yes
