Page ID,Party,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library,valid_adds
667585943263634,PvdA,Pvda Alkmaar,Gijsbert Van Iterson Scholten,591,20,no
170060616402275,PvdA,PvdA Amsterdam,Partij van de Arbeid (PvdA),550,2,no
483088901801643,D66,D66 Gennep,Frank Pubben,549,65,no
238370166527350,VVD,VVD Westfriesland,VVD Westfriesland,545,10,no
392732001145937,BIJ1,Amsterdam BIJ1,BIJ1,533,17,no
736861463159374,CDA,CDA Kop van Noord Holland,Cornelis Bazen,515,6,no
642930529119017,D66,D66 Internationaal,D66,509,3,no
1746352698711497,PvdD,Partij voor de Dieren Almere,Partij voor de Dieren,504,41,no
222078441181157,VVD,VVD Almelo,VVD Almelo!,498,27,no
100345376686972,SP,SP Amsterdam,SP Amsterdam,495,20,no
333726830018322,VVD,Limburgse VVD,Jurgen Van Heertum,492,5,no
286855144753205,PvdA,PvdA Leiden,PvdA Leiden,490,10,no
1631684917126244,FvD,Forum voor Democratie Zeeland,Forum voor Democratie Zeeland - FVD Zeeland,483,25,no
358414441297967,VVD,Vlaardingse VVD,Vlaardingse VVD,482,9,no
102287806490622,PvdD,Partij voor de Dieren,These ads ran without a disclaimer,473,10,yes
157342181127991,VVD,VVD Gennep,VVD Gennep,454,83,no
409371815837560,CDA,CDA Barneveld,CDA Barneveld,452,14,no
197238087060916,VVD,De Woerdense VVD,De Woerdense VVD,450,12,no
123604241074923,PvdA,PvdA Brabant,PvdA Brabant,436,10,no
174727955895958,VVD,Alkmaarse VVD,Alkmaarse VVD,435,13,no
194900893890599,VVD,Bossche VVD,Bossche VVD,432,23,no
123661660977745,D66,D66 Enschede,D66,422,7,no
111881632210618,GroenLinks,GroenLinks Zuid-Holland,Erik Van Zuylen,421,21,no
480607798691317,D66,D66 Lansingerland,D66 Lansingerland,420,5,no
784559828291177,SGP,SGP Zeeland,Astrid Ruissen,418,38,no
181031342395,GroenLinks,GroenLinks Groningen,GroenLinks Groningen,411,24,no
1381731098742805,PvdA,PvdA-GroenLinks Boxtel,Raven Valentijn,410,10,no
1550088745275913,DENK,DENK,These ads ran without a disclaimer,407,16,yes
1310158545730624,FvD,JFVD,These ads ran without a disclaimer,400,2,yes
149846575656180,D66,D66 Pijnacker-Nootdorp,D66 Pijnacker-Nootdorp,400,4,no
430597160607656,CDA,CDA Vught Helvoirt Cromvoirt,CDA Vught,399,14,no
522603781144544,PvdA,PvdA Almere,PvdA Almere,399,17,no
242128959237930,ChristenUnie,ChristenUnie Ede,ChristenUnie Ede,397,14,no
669907336364750,D66,D66 Steenwijkerland,D66 Steenwijkerland,392,22,no
325990707510508,VVD,VVD Geldrop-Mierlo,VVD Geldrop-Mierlo,390,17,no
451407014874001,PvdA,PvdA Utrecht,PvdA Utrecht,390,10,no
529757857120942,VVD,VVD Rijswijk,VVD Rijswijk,388,19,no
436001856449324,PvdA,PvdA Enschede,PvdA Enschede,378,21,no
890769134318110,CDA,CDA Zwolle,Arjan Spaans,377,9,no
145751698819583,VVD,VVD Leiden,VVD Leiden,374,52,no
154456451319810,VVD,De Rotterdamse VVD,Rolin Den Heijer,372,15,no
171999852960244,D66,D66 Delft,D66,371,13,no
457506067621492,VVD,VVD Nijkerk-Hoevelaken,These ads ran without a disclaimer,367,27,yes
218046225000851,50PLUSpartij,50PLUS Gelderland,Marcel Bruins,365,16,no
290134957713451,PvdD,Partij voor de Dieren Noord-Holland,PvdD Noord-Holland,364,10,no
1383104228576987,PvdA,PvdA Vlaardingen,PvdA Vlaardingen,360,6,no
323069454456751,CDA,CDA Doesburg,CDA Doesburg,359,1,no
721812541177719,VVD,VVD Kirchroa,VVD Kirchroa,351,8,no
589938234422084,PvdA,PvdA Zoetermeer,PvdA Zoetermeer,348,7,no
300057413403421,PvdA,PvdA Gelderland,PvdA Gelderland,335,6,no
102760393111399,PvdA,PvdA Zwolle,Kist Roelof Jacob,332,17,no
1559225897625340,CDA,CDA Provincie Utrecht,These ads ran without a disclaimer,330,3,yes
339241753098101,SP,SP Veenendaal,Sietse Van Der Bij,326,81,no
209648345740233,ChristenUnie,"PerspectieF, ChristenUnie-jongeren","PerspectieF, ChristenUnie-jongeren",321,16,no
1663807260315461,PvdA,PvdA Het Hogeland,PvdA,311,13,no
261116077361193,VVD,VVD Dijk en Waard,Falco Hoekstra,306,28,no
305998839508251,D66,D66 Vught-Helvoirt-Cromvoirt,D66 Vught,306,65,no
135376383177889,CDA,CDA Katwijk,These ads ran without a disclaimer,302,9,yes
211661062254003,ChristenUnie,ChristenUnie,These ads ran without a disclaimer,300,1,yes
174727955895958,VVD,Alkmaarse VVD,Wiegman Marius E R,295,7,no
153430294762818,D66,D66 Overijssel,D66,290,2,no
1438054859744079,NIDA,NIDA,These ads ran without a disclaimer,289,2,yes
385625301862587,PVV,PVV Utrecht,Sjors Nagtegaal,287,25,no
212200082218113,CDA,CDA Tilburg,These ads ran without a disclaimer,280,9,yes
1803486813232260,PvdD,Partij voor de Dieren Alkmaar,Kıvılcım Pınar,280,6,no
329248237216890,PvdA,"PvdA-GroenLinks Vught, Helvoirt & Cromvoirt",PvdA-GroenLinks,278,20,no
479179312279498,CDA,CDA Gennep,These ads ran without a disclaimer,277,5,yes
699014280188216,SP,SP Noord-Holland,Marcel Lathouwers,277,12,no
148429941847666,CDA,CDA Limburg,CDA Limburg,270,17,no
317349971611583,ChristenUnie,ChristenUnie Amersfoort,Christenunie Amersfoort,269,14,no
759417477428801,PvdA,PvdA Zeeland,Marco Eestermans,268,6,no
971443309666536,VVD,VVD Tytsjerksteradiel,Sjaak Hoekstra,267,12,no
1512067898874085,CDA,CDA Heemskerk,Rudesindo Nunez Queija,266,6,no
647735612019661,PvdA,Pvda Huizen,These ads ran without a disclaimer,266,24,yes
122589134531844,PvdD,Partij voor de Dieren Den Haag,Partij voor de Dieren Den Haag,264,10,no
850253651682648,PvdD,Partij voor de Dieren Flevoland,Partij voor de Dieren,259,15,no
267847256626886,D66,D66 Westfriesland,These ads ran without a disclaimer,259,4,yes
423071014421919,VVD,VVD Hilversum,VVD Hilversum,257,8,no
721812541177719,VVD,VVD Kirchroa,Scheeren Roger Frans Catharina,257,11,no
583900934989488,PvdA,PvdA-Harderwijk,PvdA Harderwijk,254,26,no
330274643781669,SP,SP Roermond,Jorge Wolters Gregório,254,10,no
402039413225497,ChristenUnie,ChristenUnie Zwolle,These ads ran without a disclaimer,253,5,yes
1447649805544699,CDA,CDA Gooise Meren,CDA Gooise Meren,250,8,no
197240740326073,D66,D66 Rotterdam,D66,250,1,no
418727481496257,CDA,CDA Aalten-Dinxperlo,Raimond Smit,249,3,no
113895885305052,PvdA,Partij van de Arbeid (PvdA),These ads ran without a disclaimer,248,1,yes
10150111330480434,Piratenpartij,Piratenpartij [NL],Piratenpartij [NL],248,15,no
132843257179595,D66,D66 Rijswijk,D66,240,6,no
423071014421919,VVD,VVD Hilversum,Haitske Van De Linde,235,8,no
110827711048844,JA21,JA21 Zeeland,JA21 Zeeland,233,18,no
1877043885916734,SP,SP Halderberge Rucphen,These ads ran without a disclaimer,229,2,yes
647735612019661,PvdA,Pvda Huizen,Marcel Vreedeveld,226,16,no
504176193038156,VVD,VVD Stede Broec,VVD Stede Broec,225,23,no
667343843707423,VOLT NL,Volt Rotterdam,Volt Rotterdam,225,8,no
241453325928760,D66,D66 Vlaardingen,D66 Vlaardingen,224,9,no
199340240080632,PvdA,PvdA Europa,Partij van de Arbeid,223,19,no
862823187132723,PvdA,PvdA Westland,Nico De Gier,222,10,no
346093205489554,VVD,VVD Emmen,Meijer Marcel,218,28,no
181281155612789,CDA,CDA Cranendonck,These ads ran without a disclaimer,217,4,yes
162865337242691,GroenLinks,GroenLinks Renkum,Eveline Vink,215,6,no
333726830018322,VVD,Limburgse VVD,VVD Limburg,214,2,no
111881632210618,GroenLinks,GroenLinks Zuid-Holland,Marie-Christine Van Der Gronde,212,20,no
270085373012452,CDA,CDA Flevoland,CDA Flevoland,211,4,no
147722648491,D66,D66 Leiden,D66,210,7,no
309140246675079,FvD,Forum voor Democratie Noord-Holland -FVD,FVD NH,209,2,no
117128052210675,VVD,VVD Halderberge,Jean-Marie Frerichs,207,29,no
213849225325847,CDA,CDA Stede Broec,CDA Stede Broec,204,8,no
1207987872568660,SP,SP Zutphen/Warnsveld,Mart De Ridder,202,11,no
174727955895958,VVD,Alkmaarse VVD,These ads ran without a disclaimer,200,6,yes
397283743670490,CDA,CDA Vijfheerenlanden,CDA Vijfheerenlanden,200,2,no
71794021654,GroenLinks,GroenLinks Utrecht,GroenLinks Utrecht,200,3,no
1310158545730624,FvD,JFVD,JFVD,200,1,no
1856250761366447,D66,D66 Emmen,D66 Emmen,198,11,no
199385600271549,CDA,CDA Doetinchem,CDA Doetinchem,194,12,no
196419123885680,VVD,VVD De Bilt,VVD De Bilt,189,2,no
698451706850384,CDA,CDA Noordwijk-Noordwijkerhout-De Zilk,Duivenvoorde Sebastiaan,188,25,no
321817418536017,CDA,CDA Eemsdelta,CDA Eemsdelta,188,4,no
147722648491,D66,D66 Leiden,These ads ran without a disclaimer,186,9,yes
71794021654,GroenLinks,GroenLinks Utrecht,Maaike Van Der Linden,185,5,no
299553243443758,CDA,CDA Goeree-Overflakkee,CDA Goeree-Overflakkee,178,17,no
192600774817587,CDA,CDA Harlingen,CDA Harlingen,177,36,no
115600180276143,Lijst30,Lijst30,Partijvereniging Vrij en Sociaal Nederland,177,8,no
209648345740233,ChristenUnie,"PerspectieF, ChristenUnie-jongeren",PerspectieF ChristenUnie-jongeren,176,23,no
209971895842485,CDA,CDA Uithoorn - De Kwakel,Jansen Albertus A A,175,13,no
103025673101606,PvdA,PvdA-Drenthe,PvdA Drenthe,175,4,no
930099740342915,VVD,VVD Eemsdelta,Rutger Smit,174,4,no
131158970298702,D66,D66 's-Hertogenbosch,D66,172,6,no
642930529119017,D66,D66 Internationaal,These ads ran without a disclaimer,172,1,yes
512279162203266,D66,D66 Houten,D66 Houten,170,6,no
162212757160066,VVD,VVD Zoetermeer,VVD Zoetermeer,169,10,no
315095378608398,VVD,Gestelse VVD,VVD fractie Sint-Michielsgestel,160,4,no
1561655447470490,PvdA,PvdA Beverwijk-Wijk aan Zee,PvdA Beverwijk,160,4,no
151043172169156,D66,D66 - Rhenen,D66,160,8,no
473422542679870,VVD,VVD Alphen a/d Rijn,Elise Braat,158,27,no
107794439556152,ChristenUnie,ChristenUnie Urk,ChristenUnie Urk,151,14,no
1196350273823975,VVD,VVD Wormerland,These ads ran without a disclaimer,150,15,yes
395020097267467,PvdA,Pvda Amsterdam Oost,These ads ran without a disclaimer,150,2,yes
154456451319810,VVD,De Rotterdamse VVD,These ads ran without a disclaimer,149,5,yes
852631531480102,VVD,VVD Voerendaal,Sebastiaan Vliegen,142,14,no
283053498459741,D66,D66 Wijchen,D66,141,6,no
1441662002729821,SP,SP Haarlem,Marcel Lathouwers,138,7,no
409371815837560,CDA,CDA Barneveld,CDA Gemeente Barneveld,135,5,no
1422889834673368,PvdA,PvdA Valkenswaard,PvdA Valkenswaard,135,4,no
1441662002729821,SP,SP Haarlem,Anne Feite Bloem,135,11,no
1422274718011012,VVD,De Deurnese VVD,Oomen Tom,134,12,no
339859456128700,VVD,VVDZeist,Hanny Roelofsen,134,9,no
157671251089913,ChristenUnie,ChristenUnie Zeeland,These ads ran without a disclaimer,133,3,yes
541796845835057,PvdA,PvdA Goeree-Overflakkee,PvdA Goeree-Overflakkee,132,6,no
293145967399764,D66,D66 Venlo,Remy Maessen,129,14,no
449134611796644,CDA,CDA Lisse,Ben Lanser,128,15,no
128640250574683,VVD,De Utrechtse VVD,VVD Utrecht,127,5,no
1513913028938636,PvdA,PvdA-afdeling Lochem,These ads ran without a disclaimer,127,17,yes
357316470970750,CDA,CDA Leiden,These ads ran without a disclaimer,126,5,yes
120767601437627,SP,SP Kerkrade,Peters Ernst L B,125,16,no
